Country Name,Country Code,Year,Access to electricity (% of population),"Agriculture, forestry, and fishing, value added (% of GDP)",Current health expenditure (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),GDP per capita (current US$),"Government expenditure on education, total (% of GDP)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)",Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),"School enrollment, primary (% gross)","Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population)
Albania,ALB,2020,100.0,18.8061378649169,7.46513748,7.01865154497786,-3.31375636888916,6027.91350716348,3.32505011558533,72.23767711,1.62088661717021,77.824,0.3,100.020970049835,11.639,57.1408592155544
Algeria,DZA,2011,99.0,7.08352512171367,4.82567501,1.17767329101171,2.99999999941909,5916.31364364343,9.12453448642892,14.89999962,4.5242115050527,74.383,0.0,112.733764527322,9.961,67.7344007507578
Angola,AGO,2008,38.5,7.81831803296579,2.97807598,1.69952793929117,10.7866360496581,4578.15526451058,4.62330484390259,1.899999976,12.4758291326398,55.281,22.1,113.292236328125,6.762,58.5851745819614
Angola,AGO,2018,45.3,13.1933917283997,2.29887486,-7.13330828809519,-0.506697543616156,2891.83032378747,2.18351298946275,29.0,19.6289379701521,62.622,39.3,101.2539710998535,6.762,65.8732136723372
Argentina,ARG,2002,96.1,10.2066467144411,7.33203077,2.19895819502207,-10.8944848285903,2569.69963519124,4.01734018325806,10.8821243775325,3.03924881090924,74.312,17.1,116.877983093262,19.59,89.5616701920513
Argentina,ARG,2003,96.3,10.328166939117,6.92670012,1.29481086883944,8.83704079576924,3320.47775133903,3.53504991531372,11.9136965509954,3.03924881090924,74.307,8.2,114.37532043457,15.4,89.752468256564
Argentina,ARG,2004,96.5,8.36248661319513,7.09477043,2.5050175164097,9.02957330068152,4242.02099089422,3.48652005195618,16.0366841054923,3.03924881090924,74.871,6.0,115.446090698242,13.522,89.9397208794212
Argentina,ARG,2005,96.7,7.9387542736316,7.73392439,2.64935441452167,8.85165992013437,5067.65342293276,3.86000990867615,17.7205833696065,3.03924881090924,75.231,4.4,114.580780029297,11.506,90.1233737736072
Argentina,ARG,2006,97.0,6.93557229395092,7.70940399,2.38106854489628,8.04715150043027,5869.38028970204,4.12821006774902,20.9272021035896,3.03924881090924,75.279,3.5,116.187850952148,10.078,90.3033726521064
Argentina,ARG,2007,97.2,7.45235394455624,7.86196613,2.25129423568361,9.00765087504757,7185.25155147027,4.46260976791382,25.9466329403819,3.03924881090924,74.783,2.8,117.236312866211,8.469,90.4796632279031
Argentina,ARG,2008,97.5,7.31895459702249,8.24087811,2.68990096507093,4.05723310346406,8944.1102657357,4.84438991546631,28.1126234799907,3.03924881090924,75.428,2.6,118.320129394531,7.837,90.6521912139817
Argentina,ARG,2009,97.8,5.27362346634198,9.56852913,1.20643922647566,-5.91852507634947,8150.23527028221,5.53105020523071,34.0,3.03924881090924,75.577,2.4,118.293312072754,8.645,90.8209023233265
Argentina,ARG,2010,98.8,7.13216744789716,9.4852438,2.67516171886535,10.1253981561002,10260.1313108254,5.01972007751465,45.0,3.03924881090924,75.68,1.5,118.128196716309,7.714,90.9930051940977
Argentina,ARG,2011,99.0,6.99873377085717,9.51042366,2.04465997872008,6.00395169280579,12704.2831819684,5.29063987731934,51.0,3.03924881090924,76.1,1.2,117.372833251953,7.18,91.1072286738406
Argentina,ARG,2012,99.1,5.78174420692637,9.8851881,2.80667189982932,-1.0264204544321,12949.717486654,5.3458399772644,55.79999924,3.03924881090924,75.802,1.3,116.43643951416,7.217,91.2041217246797
Argentina,ARG,2013,99.3,6.05291843703277,9.92091465,1.77920553648531,2.40532378079436,12963.675773326,5.43660020828247,59.90000153,3.03924881090924,75.829,1.1,114.421348571777,7.1,91.3014507719473
Argentina,ARG,2014,100.0,6.7127035133689,9.79773045,0.962406650325519,-2.51261532081394,12233.1444119186,5.36144018173218,64.69999695,3.03924881090924,76.268,1.1,113.873519897461,7.268,91.3975345472954
Argentina,ARG,2016,99.9,6.2645658204639,10.05355549,0.584748941173009,-2.08032784377811,12699.9623137756,5.54548978805542,70.9689808206024,3.03924881090924,76.105,1.3,111.654647827148,6.762,91.5856817228217
