income_group,region,poverty_ratio
Upper middle income,East Asia & Pacific,15.3
Upper middle income,East Asia & Pacific,12.9
Upper middle income,East Asia & Pacific,6.0
Upper middle income,East Asia & Pacific,4.6
Upper middle income,East Asia & Pacific,2.9
Upper middle income,East Asia & Pacific,2.1
Upper middle income,East Asia & Pacific,1.6
Upper middle income,East Asia & Pacific,0.7
Upper middle income,East Asia & Pacific,0.0
Upper middle income,East Asia & Pacific,0.0
Upper middle income,East Asia & Pacific,0.0
Upper middle income,East Asia & Pacific,0.0
Upper middle income,Latin America & Caribbean ,21.2
Upper middle income,Latin America & Caribbean ,19.8
Upper middle income,Latin America & Caribbean ,19.2
Upper middle income,Latin America & Caribbean ,16.8
Upper middle income,Latin America & Caribbean ,16.3
Upper middle income,Latin America & Caribbean ,15.1
Upper middle income,Latin America & Caribbean ,13.3
Upper middle income,Latin America & Caribbean ,11.3
Upper middle income,Latin America & Caribbean ,12.7
Upper middle income,Latin America & Caribbean ,11.8
Upper middle income,Latin America & Caribbean ,10.9
Upper middle income,Latin America & Caribbean ,10.2
Upper middle income,Latin America & Caribbean ,10.1
Upper middle income,Latin America & Caribbean ,9.5
Upper middle income,Latin America & Caribbean ,9.8
Upper middle income,Latin America & Caribbean ,11.3
Upper middle income,Latin America & Caribbean ,15.8
Upper middle income,Latin America & Caribbean ,11.2
Upper middle income,Latin America & Caribbean ,9.3
Lower middle income,Sub-Saharan Africa ,24.3
Lower middle income,Sub-Saharan Africa ,31.4
Lower middle income,Sub-Saharan Africa ,8.9
Low income,Sub-Saharan Africa ,94.9
Low income,Sub-Saharan Africa ,78.9
Low income,Sub-Saharan Africa ,85.3
Lower middle income,Sub-Saharan Africa ,54.5
Lower middle income,Sub-Saharan Africa ,39.2
High income,Latin America & Caribbean ,6.6
High income,Latin America & Caribbean ,6.9
High income,Latin America & Caribbean ,6.6
High income,Latin America & Caribbean ,5.0
High income,Latin America & Caribbean ,5.2
High income,Latin America & Caribbean ,3.1
High income,Latin America & Caribbean ,3.4
High income,Latin America & Caribbean ,3.6
High income,Latin America & Caribbean ,2.2
High income,Latin America & Caribbean ,2.7
High income,Latin America & Caribbean ,2.6
High income,Latin America & Caribbean ,2.6
High income,Latin America & Caribbean ,2.4
High income,Latin America & Caribbean ,2.4
High income,Latin America & Caribbean ,2.4
High income,Latin America & Caribbean ,1.7
High income,Latin America & Caribbean ,2.3
High income,Latin America & Caribbean ,1.7
High income,Latin America & Caribbean ,3.4
High income,Latin America & Caribbean ,2.2
High income,Latin America & Caribbean ,1.6
Lower middle income,Sub-Saharan Africa ,43.9
Lower middle income,Sub-Saharan Africa ,47.0
Lower middle income,Sub-Saharan Africa ,46.6
Lower middle income,Sub-Saharan Africa ,21.7
Lower middle income,Sub-Saharan Africa ,20.8
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,1.0
High income,Europe & Central Asia,1.4
High income,Europe & Central Asia,1.0
High income,Europe & Central Asia,1.1
High income,Europe & Central Asia,1.2
High income,Europe & Central Asia,1.2
High income,Europe & Central Asia,0.7
High income,Europe & Central Asia,0.9
High income,Europe & Central Asia,0.6
High income,Europe & Central Asia,0.5
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.6
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.2
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",32.3
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",26.4
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",31.2
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",25.4
Upper middle income,Latin America & Caribbean ,9.0
Upper middle income,Latin America & Caribbean ,10.7
Upper middle income,Latin America & Caribbean ,14.6
Upper middle income,Latin America & Caribbean ,9.9
Upper middle income,Latin America & Caribbean ,8.1
Upper middle income,Latin America & Caribbean ,7.8
Upper middle income,Latin America & Caribbean ,7.1
Upper middle income,Latin America & Caribbean ,6.3
Upper middle income,Latin America & Caribbean ,5.5
Upper middle income,Latin America & Caribbean ,5.3
Upper middle income,Latin America & Caribbean ,5.4
Upper middle income,Latin America & Caribbean ,4.4
Upper middle income,Latin America & Caribbean ,4.1
Upper middle income,Latin America & Caribbean ,3.3
Upper middle income,Latin America & Caribbean ,3.0
Upper middle income,Latin America & Caribbean ,1.5
Upper middle income,Latin America & Caribbean ,1.1
Upper middle income,Latin America & Caribbean ,1.0
Upper middle income,Latin America & Caribbean ,1.3
Upper middle income,Latin America & Caribbean ,1.3
Upper middle income,Latin America & Caribbean ,1.0
Upper middle income,Latin America & Caribbean ,18.9
Upper middle income,Latin America & Caribbean ,19.4
Upper middle income,Latin America & Caribbean ,15.4
Upper middle income,Latin America & Caribbean ,10.9
Upper middle income,Latin America & Caribbean ,10.9
Upper middle income,Latin America & Caribbean ,9.8
Upper middle income,Latin America & Caribbean ,9.3
Upper middle income,Latin America & Caribbean ,7.8
Upper middle income,Latin America & Caribbean ,6.4
Upper middle income,Latin America & Caribbean ,6.0
Upper middle income,Latin America & Caribbean ,4.5
Upper middle income,Latin America & Caribbean ,4.0
Upper middle income,Latin America & Caribbean ,4.8
Upper middle income,Latin America & Caribbean ,5.0
Upper middle income,Latin America & Caribbean ,4.3
Upper middle income,Latin America & Caribbean ,4.7
Upper middle income,Latin America & Caribbean ,4.6
Upper middle income,Latin America & Caribbean ,8.4
Upper middle income,Latin America & Caribbean ,5.3
Upper middle income,Latin America & Caribbean ,4.4
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",4.1
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.7
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",1.5
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",1.2
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",1.2
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",3.1
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",2.0
Lower middle income,"Middle East, North Africa, Afghanistan & Pakistan",1.4
Upper middle income,Latin America & Caribbean ,19.5
Upper middle income,Latin America & Caribbean ,20.9
Upper middle income,Latin America & Caribbean ,16.3
Upper middle income,Latin America & Caribbean ,16.4
Upper middle income,Latin America & Caribbean ,12.6
Upper middle income,Latin America & Caribbean ,9.2
Upper middle income,Latin America & Caribbean ,12.6
Upper middle income,Latin America & Caribbean ,12.4
Upper middle income,Latin America & Caribbean ,11.4
Upper middle income,Latin America & Caribbean ,10.1
Upper middle income,Latin America & Caribbean ,8.5
Upper middle income,Latin America & Caribbean ,7.1
Upper middle income,Latin America & Caribbean ,7.0
Upper middle income,Latin America & Caribbean ,5.3
Upper middle income,Latin America & Caribbean ,5.8
Upper middle income,Latin America & Caribbean ,4.6
Upper middle income,Latin America & Caribbean ,4.1
Upper middle income,Latin America & Caribbean ,3.0
Upper middle income,Latin America & Caribbean ,5.1
Upper middle income,Latin America & Caribbean ,5.2
Upper middle income,Sub-Saharan Africa ,8.8
High income,Europe & Central Asia,2.9
High income,Europe & Central Asia,3.6
High income,Europe & Central Asia,1.6
High income,Europe & Central Asia,1.1
High income,Europe & Central Asia,1.1
High income,Europe & Central Asia,0.6
High income,Europe & Central Asia,0.6
High income,Europe & Central Asia,0.8
High income,Europe & Central Asia,1.0
High income,Europe & Central Asia,1.2
High income,Europe & Central Asia,1.0
High income,Europe & Central Asia,1.1
High income,Europe & Central Asia,1.0
High income,Europe & Central Asia,0.7
High income,Europe & Central Asia,0.6
High income,Europe & Central Asia,0.5
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.7
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.5
Lower middle income,Sub-Saharan Africa ,58.2
Lower middle income,Sub-Saharan Africa ,44.5
Low income,Sub-Saharan Africa ,41.3
Low income,Sub-Saharan Africa ,37.4
Low income,Sub-Saharan Africa ,33.0
Low income,Sub-Saharan Africa ,38.6
Upper middle income,East Asia & Pacific,5.4
Upper middle income,East Asia & Pacific,3.8
Upper middle income,East Asia & Pacific,1.6
Upper middle income,East Asia & Pacific,4.7
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
Upper middle income,Sub-Saharan Africa ,9.2
