electricity_access,agri_value_added,health_expenditure,gdp_growth,gdp_per_capita,education_expenditure,internet_users,inflation,life_expectancy,urban_population,reg_europe_and_central_asia,reg_latin_america_and_caribbean,reg_middle_east_north_africa_afghanistan_and_pakistan,reg_north_america,reg_south_asia,reg_sub_saharan_africa,poverty_ratio
98.9,9.49567972282988,8.14139366,1.49330728771066,7951.08624019412,3.70918011665344,79.34543299,6.60908593728228,77.913,78.5210811866115,0,0,0,0,0,0,8.5
98.7,8.79586693548387,8.15838146,0.841819555752039,7012.49169137756,3.70918011665344,77.33686322,11.7359044948689,77.725,78.275571579544,0,0,0,0,0,0,8.6
91.7,36.0674263241968,7.70976162,3.30071498500033,1857.87060684189,3.70918011665344,32.51750183,5.05192609588218,67.023,33.5392215673301,0,0,0,0,0,0,5.1
99.8,3.42503373726182,7.70976162,4.08292444182048,18853.2828705886,3.70918011665344,87.17019653,-0.412853001047069,80.996,79.3107672397967,0,0,0,0,0,0,1.3
100.0,3.73326442310783,6.8663702,4.79187732359398,17140.771430122,5.31208992004395,85.39514799,0.525193508693455,80.799,78.8819393641702,0,0,0,0,0,0,1.5
100.0,2.68355517389438,7.14699411,3.76204092717136,22183.4982258492,3.70918011665344,83.24117599,7.94128177586822,78.4731707317073,57.2431560672198,1,0,0,0,0,0,0.3
100.0,1.15495918435607,8.11912918,3.62045368236082,36623.70703125,3.70918011665344,91.22110357,3.54134188751646,81.648,66.6739477522639,1,0,0,0,0,0,0.0
100.0,2.14121915412639,8.42677402,0.0475803308973752,31761.5944102491,3.70918011665344,85.99404818,10.6612601372427,79.8268292682927,72.7352388396817,1,0,0,0,0,0,0.0
100.0,1.03787056976317,9.5572958,0.604587766175584,68043.5466971243,3.70918011665344,98.77559197,3.30517811237606,81.7536585365854,88.552638542867,1,0,0,0,0,0,0.4
99.5,4.45398448187972,7.70976162,4.95352204492849,10875.6618443092,3.70918011665344,91.0022446,3.30223338951227,73.868,72.4121874752151,0,0,0,0,0,0,0.8
99.6,4.29425303998525,4.59880495,2.19229848237939,10630.431743829,3.7606477375256,86.12689972,4.78561281021135,73.72,72.3577991823338,0,0,0,0,0,0,1.3
98.5,9.23570415539851,7.70976162,-1.94409022506859,6826.5294137822,3.69074988365173,77.17273115,1.54732515615369,77.579,63.2376932397602,0,0,0,0,0,0,7.3
98.7,8.05137468415854,7.56167889,1.8328406107788,6718.1447938811,3.81964993476868,72.6943146,2.21568764237058,77.392,63.1307729554263,0,0,0,0,0,0,4.7
98.3,4.64483845432637,9.28738594,3.35508721646165,5319.7195268688,3.18734002113342,62.61989975,4.04554694222477,72.099,74.6080675149903,0,0,0,0,0,0,4.6
100.0,1.71558125919165,7.47082138,-2.74421914571231,30264.0064885057,3.70918011665344,93.18342241,9.15922507983982,78.7926829268293,70.6770085523126,1,0,0,0,0,0,0.3
100.0,2.33109283712753,10.47389507,-1.28973484453397,52864.6931581216,3.70918011665344,93.51385075,6.25064322154763,81.5853658536585,74.0062548602828,1,0,0,0,0,0,0.2
100.0,1.48475796304424,11.51974583,1.43921494437743,44700.1384177544,3.70918011665344,86.83635789,4.8783572650844,82.8317073170732,78.7804323126547,1,0,0,0,0,0,0.1
100.0,5.4854426894458,7.70976162,9.67979379712661,8967.67525638987,3.98011682083814,83.79855689,1.10971758022096,74.657,61.0789605093733,1,0,0,0,0,0,4.2
100.0,6.01579508133932,6.85758877,7.83220126555726,8283.66960652261,3.70918011665344,81.88425624,2.48776056578715,74.496,60.7523077799724,1,0,0,0,0,0,5.8
100.0,3.74222017907683,8.39367008,2.13591131996631,23343.7103964562,3.70918011665344,85.0102229,3.46480128513405,81.7365853658537,78.7746303842088,1,0,0,0,0,0,0.6
100.0,9.62190880667852,6.80241346,3.52430434049013,5754.42833909847,3.10877990722656,56.72669983,6.20657592272126,72.602,55.6082319565539,0,0,0,0,0,0,9.7
95.5,11.2694430605256,7.70976162,3.63240745450875,3415.96027916712,3.70918011665344,58.62269974,4.60621098127101,73.044,58.7850728104829,0,0,0,0,0,0,15.7
95.6,11.9787948406632,7.70976162,3.57584760454412,3227.45762509776,4.54962037172702,58.0685997,6.66325180347463,72.884,58.3132392705102,0,0,0,0,0,0,17.0
99.9,12.6097220294251,7.70976162,5.03257477088519,4925.43644992666,3.70918011665344,72.78075544,2.18151273615189,71.288,58.7509635387997,0,0,0,0,0,0,5.4
99.4,12.5294431866213,2.70239949,5.04883117855516,4876.2992959843,1.27517088245674,69.20836554,3.66938654859761,71.146,58.1179353397878,0,0,0,0,0,0,6.7
100.0,10.750872506583,6.02542305,5.33235116079808,5049.29931642754,2.82443290958712,83.71050262,44.5791857572797,77.654,76.6759567260742,0,0,1,0,0,0,2.5
100.0,3.10603121448412,5.53275251,0.517705525140073,5965.31835077761,3.70918011665344,81.80889893,4.35835351089595,72.324,69.868278503418,0,0,1,0,0,0,0.5
100.0,0.846910710164401,6.57538509,-2.53637409313261,106818.917130804,3.70918011665344,96.8660965,6.29942487419125,82.8073170731707,64.1152082461268,1,0,0,0,0,0,0.1
100.0,1.8596431753596,8.40559483,0.922796543670316,39279.699782164,3.70918011665344,87.0278292,5.62219442195901,83.3512195121951,69.5381540123301,1,0,0,0,0,0,0.9
95.9,26.9850960163305,10.94525623,3.13390313390313,2200.68918614289,16.39053,88.0,9.28307374517721,66.473,61.5244676194408,0,0,0,0,0,0,0.9
100.0,8.6216835341199,7.70976162,11.5397119406559,2514.81066933171,3.70918011665344,92.0286026,4.99760701207323,72.4,34.7219977865937,1,0,0,0,0,0,2.2
100.0,9.49216108207808,4.50344467,9.0132928339342,2138.22210211478,6.82694680798777,91.04440308,10.7532770416742,72.2487804878049,34.706439175362,1,0,0,0,0,0,2.7
96.5,16.771883812878,7.70976162,4.13019264438475,2123.97909415109,3.70918011665344,65.59269714,23.1305695942588,69.225,39.5552154401406,0,0,0,0,0,0,7.1
100.0,3.93344279418518,7.27783823,-0.941606068823631,22710.2637544197,3.70918011665344,92.18791291,8.9380462331663,75.4268292682927,68.3586316343061,1,0,0,0,0,0,0.4
100.0,2.49720067319748,7.31801939,0.739537398185803,27983.3658256887,3.70918011665344,88.50287484,9.11731962390475,77.290243902439,68.575454583199,1,0,0,0,0,0,1.1
100.0,0.187250952835075,5.78777981,0.0994370594039111,133230.619178899,3.70918011665344,99.34785707,3.74140361983136,83.309756097561,94.8015300320787,1,0,0,0,0,0,0.1
100.0,0.0444448692460621,8.84301376,10.6340558017004,40932.5238774461,3.70918011665344,92.07266941,5.09396758978883,83.3560975609756,95.6272277147965,0,0,1,0,0,0,0.4
99.8,3.86944846371998,7.70976162,1.35057631384696,13988.0423745241,3.70918011665344,83.12233799,4.72225588452932,75.264,79.7538805976118,0,0,0,0,0,0,1.6
100.0,7.08454848490601,6.7359705,1.18802067937429,6799.58594644576,6.55709981918335,76.50330353,13.41701043813,71.198,43.0011825561523,1,0,0,0,0,0,0.1
100.0,1.64416506232656,9.42925453,0.352695581319765,90984.4087141111,3.70918011665344,99.00000258,5.51784987104659,83.0121951219512,83.0718560702166,1,0,0,0,0,0,0.2
95.7,23.7319671905124,7.70976162,3.08176295579301,1479.47755241191,3.70918011665344,57.253,12.6325318530452,67.799,39.1734368360905,0,0,1,0,0,0,23.0
96.0,2.68214078983355,7.70976162,2.74784148771307,19161.218843129,3.70918011665344,72.77149963,0.69322555100446,79.775,65.9958447685488,0,0,0,0,0,0,3.1
97.0,2.49627490786682,8.33022976,7.16634016390665,18797.1933894611,2.47225999832153,68.54851592,1.48641355277038,79.594,65.8601271176084,0,0,0,0,0,0,3.7
99.8,11.2466028027305,7.70976162,4.66914577981763,6456.60723068562,3.53410005569458,81.57806793,3.83540271728533,73.982,69.8622585886961,0,0,0,0,0,0,2.1
99.8,11.7050639471675,8.35731316,5.28584584975323,6303.26495017292,3.393709897995,78.09481878,4.63202285403356,73.844,69.3466081733694,0,0,0,0,0,0,2.4
96.5,7.47121084291146,7.70976162,3.5152749274832,8526.29665719783,4.35778999328613,81.95705992,2.00770739412712,77.941,85.1912729600355,0,0,0,0,0,0,5.1
96.2,7.22315955429279,5.63786411,-0.350699814345759,7919.04634828547,4.24538993835449,79.48484477,6.45561348369586,77.74,84.7810255849745,0,0,0,0,0,0,5.9
98.0,9.40036652869164,5.10122538,5.51894967856043,3804.08274131718,3.6236863467978,77.86699677,5.97802515541409,69.833,55.1242716168851,0,0,0,0,0,0,5.3
100.0,2.76537109467644,7.13848782,0.249610834017872,22145.2660647429,3.70918011665344,86.414744,11.5289127961105,78.2585365853659,59.8859561370214,1,0,0,0,0,0,0.2
100.0,2.13721069426312,10.02761173,3.09998745904281,27634.6183139773,3.70918011665344,85.79012676,4.31128191898681,82.3292682926829,61.2048652633664,1,0,0,0,0,0,0.4
100.0,3.32416909916798,5.70901489,2.25773416555121,18244.4186876321,3.70918011665344,89.20335498,10.3971874764996,76.4048780487805,52.1645747011867,1,0,0,0,0,0,0.7
100.0,3.01939316812813,7.04438496,4.06661395813023,13986.9951171875,4.16454853394225,92.24496346,5.86571931748967,73.2546341463415,74.9805047873279,1,0,0,0,0,0,0.1
63.9,23.1373057605237,5.12708998,8.55964292914153,1061.05788154076,4.92002010345459,28.80579948,19.789546746467,67.785,28.8555310645477,0,0,0,0,0,0,38.6
100.0,3.78653396097272,8.03133774,3.74793303561771,12281.707946167,3.40377998352051,85.35746686,12.3719043552519,76.1414634146341,62.1434649229738,1,0,0,0,0,0,1.1
100.0,2.12570153523878,7.35262203,2.11263633214959,24614.8734642794,3.70918011665344,87.2131343,10.5319476645211,78.119512195122,53.190805019646,1,0,0,0,0,0,0.5
100.0,1.53197014432848,9.30008888,2.3758326648385,32660.4753581346,3.70918011665344,90.37794678,7.44687717385846,81.9292682926829,55.5378927789875,1,0,0,0,0,0,0.0
100.0,2.6062235563618,9.2206583,2.46085796805582,33493.2225409111,3.70918011665344,95.44564516,3.53236133492433,83.9341463414634,80.128491001856,1,0,0,0,0,0,0.8
100.0,1.28228230721285,11.152915,-0.204061304891439,54950.2834725622,3.70918011665344,95.70327461,8.5486248974891,83.309756097561,88.631216160938,1,0,0,0,0,0,0.8
99.9,23.0548214545919,7.70976162,8.39999980983981,1362.02559981695,3.70918011665344,55.79339981,4.817378238171456,71.927,26.1788063651548,1,0,0,0,0,0,6.1
100.0,22.8588621065173,7.43789911,8.29999921651935,1178.47990060249,5.43682120015444,54.41550064,4.817378238171456,71.79,26.1890127571429,1,0,0,0,0,0,7.3
100.0,8.89226589240955,7.70976162,2.94859986593323,7386.63615126055,3.70918011665344,90.86718789,0.398333333333422,76.564,61.8689338391321,0,0,0,0,0,0,0.0
100.0,8.55515003809495,4.53787661,2.24883437970568,7210.54130832685,2.52122219628772,89.53525238,1.22908986612448,76.412,60.9341926574707,0,0,0,0,0,0,0.0
100.0,6.38984597795627,4.27524424,5.04512369812289,13375.0947282864,3.70918011665344,85.96074155,53.8594087593315,77.156,89.0218446796121,1,0,0,0,0,0,0.2
